,ID,DataPost,DataColeta,DiaDaSemana,Perfil,Texto,Duracao,Duração Classificada,Event,Tie,Chin,Smile,Hat,Font,Forehead,Gesture,Joy,Person,Curtidas
25,7117411123879496966,2022-07-06 00:00:00,2022-10-02,quarta-feira,lulaoficial,Olha essa mensagem de video 🇧🇷⭐️❤️ #mensagensparalula #vamosjuntospelobrasil #lula #Libertadores #pepsiapplepiechallenge,73.0,Normal,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4641
26,7117590392270327046,2022-07-07 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#jairbolsonaro #agronegocio #agro #presidente #brasil #alimento #trigo #base #jair #bolsonaro #roraima #🇧🇷 #kg #goias #rr #go #hectare #producao #mundo #compartilhe,60.3,Normal,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,18500
27,7117603422920117509,2022-07-07 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#compartilhe #verdade #feitos #brasil #🇧🇷 #patria #realizacoes #familia #saude #economia #educacao #comercio #emprego #privatizacao #seguranca #startup #agronegocio #ocde #sao #francisco #liberdade #exonomica #reducao #gastos #rodovia #recorde #lei #mp #imoveis #escola #reforma #civico #militar #ampliacao #negocio #alfabetizacao #investimento #reforma #agraria #mundo #maquina #gastos #compartilhe,127.96,Muito longo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2368
28,7117660810549284102,2022-07-07 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#jairbolsonaro #compartilhe #cuba #venezuela #presidente #🇧🇷 #democracia #socialismo #povo #deus #patria #familia #combustivel,54.33,Curto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13100
29,7117971542633499910,2022-07-08 00:00:00,2022-10-02,sexta-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #brasil #presidente #emocao #verde #amarelo #azul #e #branco #a #nossa #bandeira #jamais #sera #vermelha #deus #patria #familia #compartilhe,49.02,Curto,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4149
30,7118042601000881413,2022-07-08 00:00:00,2022-10-02,sexta-feira,lulaoficial,Entrei para trend 😎 #clareza #vamosjuntospelobrasil #lula #equipelula,9.26,Muito curto,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,18100
31,7118068834459782405,2022-07-08 00:00:00,2022-10-02,sexta-feira,bolsonaromessiasjair,#jairbolsonaro #presidente #constituicao #afa #academia #da #forca #aerea #sao #paulo #saopaulo #fab #forca #aerea #brasileira #brasil #deus #patria #familia #🇧🇷 #sp #compartilhe #jair #bolsonaro,60.11,Normal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4147
32,7118340242536434950,2022-07-09 00:00:00,2022-10-02,sábado,bolsonaromessiasjair,#jairbolsonaro #jair #bolsonaro #historia #brasil #🇧🇷 #deputado #federal #joaquim #barbosa #mensalao #pt #lula #dilma #fernandinho #beira #mar #comissao #parlamentar #470 #acao #penal #doleiro #alberto #yousseff #congresso #compartilhe,53.85,Curto,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,45200
33,7118447789050252549,2022-07-09 00:00:00,2022-10-02,sábado,lulaoficial,O #Brasil merece mais #livros e mais #amor 🇧🇷❤️⭐️ #vamosjuntospelobrasil #lula #booktok #educacao #edutok,47.02,Curto,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6987
34,7118453762775108869,2022-07-09 00:00:00,2022-10-02,sábado,lulaoficial,A #bandeira brasileira é do #povo brasileiro ❤️🇧🇷⭐️ #vamosjuntospelobrasil #lula #Brasil #futebol,52.06,Curto,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17200
